width	height	description	isModerated	moderatedBy	predicted
0_10_6	581	55	Слепым волчатам	1	Norlist	
0_10_60	674	75	Слепым волчатам	1	Norlist	
0_10_61	731	73	Слепым волчатам	1	Norlist	
0_10_611_	721	77	Слепым волчатам	1	Norlist	
0_10_612	591	49	Слепым волчатам	1	Norlist	
0_10_613	625	87	Слепым волчатам	1	Norlist	
0_10_614	573	57	Слепым волчатам	1	Norlist	
0_10_615_	694	64	Слепым волчатам	1	Norlist	
0_10_616	706	64	Слепым волчатам	1	Norlist	
0_10_617	566	48	Слепым волчатам	1	Norlist	
0_10_618	481	48	Слепым волчатам	1	Norlist	
0_10_619	696	77	Слепым волчатам	1	Norlist	
0_10_62	581	69	Слепым волчатам	1	Norlist	
0_10_620	529	60	Слепым волчатам	1	Norlist	
0_10_621	563	76	Слепым волчатам	1	Norlist	
0_10_622	689	82	Слепым волчатам	1	Norlist	
0_10_623	657	87	Слепым волчатам	1	Norlist	
0_10_624	574	67	Слепым волчатам	1	Norlist	
0_10_625	565	75	Слепым волчатам	1	Norlist	
0_10_626	660	61	Слепым волчатам	1	Norlist	
0_10_627	698	60	Слепым волчатам	1	Norlist	
0_10_628	567	65	Слепым волчатам	1	Norlist	
0_10_629	568	82	Слепым волчатам	1	Norlist	
0_10_630	521	65	Слепым волчатам	1	Norlist	
0_10_631	559	60	Слепым волчатам	1	Norlist	
0_10_632_	610	61	Слепым волчатам	1	Norlist	
0_10_633	552	76	Слепым волчатам	1	Norlist	
0_10_634	600	64	Слепым волчатам	1	Norlist	
0_10_635	509	61	Слепым волчатам	1	Norlist	
0_10_636	575	45	Слепым волчатам	1	Norlist	
0_10_7	582	63	Слепым волчатам	1	Daniyar Borisovich	
0_10_8	564	33	Слепым волчатам	1	Norlist	
0_10_9	561	57	Слепым волчатам	1	Norlist	
0_11_0	530	74	Они, толкаясь	1	Norlist	
0_11_1	550	51	Они толкаясь	1	Norlist	
0_11_10	460	82	Они, толкаясь	1	Daniyar Borisovich	
0_11_11	465	47	Они, толкаясь	1	Norlist	
0_11_12	445	90	Они, толкаясь	1	Daniyar Borisovich	
0_11_13	542	65	Они, толкаясь	1	Norlist	
0_11_14	433	69	Они, толкаясь	1	Norlist	
0_11_15	603	50	Они, толкаясь	1	Norlist	
0_11_16	513	42	Они, толкаясь	1	Norlist	
0_11_18	539	73	Они, толкаясь	1	Norlist	
0_11_19	464	61	Они, толкаясь	1	Norlist	
0_11_2	541	83	Они, толкаясь,	1	Norlist	
0_11_20	562	69	Они, толкаясь	1	Norlist	
0_11_21	552	87	Они, толкаясь	1	Daniyar Borisovich	
0_11_22	334	48	Они, толкаясь	1	Norlist	
0_11_23	383	62	Они, толкаясь	1	Norlist	
0_11_24	393	62	Они, толкаясь	1	Norlist	
0_11_25	447	49	Они, толкаясь	1	Norlist	
0_11_26	475	62	Они, толкаясь	1	Norlist	
0_11_27	508	73	Они, толкаясь	1	Norlist	
0_11_28_	474	48	Они толкаясь	1	Daniyar Borisovich	
0_11_29	495	97	Они, толкаясь	1	Daniyar Borisovich	
0_11_3	393	65	Они, толкаясь	1	Norlist	
0_11_32	512	67	Они, толкаясь	1	Daniyar Borisovich	
0_11_33	518	74	Они, толкаясь	1	Daniyar Borisovich	
0_11_34	487	59	Они, толкаясь	1	Norlist	
0_11_35	424	72	Они, толкаясь	1	Norlist	
0_11_36	560	79	Они, толкаясь	1	Daniyar Borisovich	
0_11_37	475	95	Они, толкаясь	1	Daniyar Borisovich	
0_11_38	406	76	Они, толкаясь	1	Daniyar Borisovich	
0_11_39	588	88	Они, толкаясь	1	Daniyar Borisovich	
0_11_4	457	69	Они, толкаясь	1	Norlist	
0_11_40	469	56	Они, толкаясь	1	Norlist	
0_11_41	409	64	Они, толкаясь	1	Norlist	
0_11_42	404	65	Они, толкаясь	1	Norlist	
0_11_43	321	79	Они, толкаясь	1	Daniyar Borisovich	
0_11_44	468	72	Они, толкаясь	1	Daniyar Borisovich	
0_11_45	386	60	Они, толкаясь	1	Norlist	
0_11_46	463	65	Они, толкаясь	1	Norlist	
0_11_47	585	75	Они, толкаясь	1	Norlist	
0_11_48	581	80	Они, толкаясь	1	Norlist	
0_11_49	631	67	Они, толкаясь	1	Norlist	
0_11_50	481	61	Они, толкаясь	1	Norlist	
0_11_51	494	65	Они, толкаясь	1	Norlist	
0_11_52	408	48	Они, толкаясь	1	Norlist	
0_11_53	565	81	Они, толкаясь	1	Daniyar Borisovich	
0_11_55	457	76	Они, толкаясь	1	Norlist	
0_11_56	353	52	Они, толкаясь	1	Norlist	
0_11_57	622	65	Они, толкаясь	1	Norlist	
0_11_58	377	66	Они, толкаясь	1	Norlist	
0_11_6	444	57	Они, толкаясь	1	Norlist	
0_11_60	493	84	Они, толкаясь	1	Norlist	
0_11_61	575	77	Они, толкаясь	1	Norlist	
0_11_611_	584	77	Они, толкаясь	1	Norlist	
0_11_612	420	61	Они, толкаясь	1	Norlist	
0_11_613	392	64	Они, толкаясь	1	Norlist	
0_11_614	423	56	Они, толкаясь	1	Norlist	
0_11_615_	560	80	Они, толкаясь	1	Norlist	
0_11_616	498	85	Они, толкаясь	1	Norlist	
0_11_617	420	65	Они, толкаясь	1	Norlist	
0_11_618	380	55	Они, толкаясь	1	Norlist	
0_11_619	541	78	Они, толкаясь	1	Norlist	
0_11_62	419	47	Они, толкаясь	1	Norlist	
0_11_620	415	73	Они, толкаясь	1	Norlist	
0_11_621	389	61	Они, толкаясь	1	Norlist	
0_11_622	575	71	Они, толкаясь	1	Norlist	
0_11_623	568	87	Они, толкаясь	1	Norlist	
0_11_624	418	85	Они, толкаясь	1	Norlist	
0_11_625	464	66	Они, толкаясь	1	Norlist	
0_11_626	496	65	Они, толкаясь	1	Norlist	
0_11_627	482	47	Они, толкаясь	1	Norlist	
0_11_628	463	53	Они, толкаясь	1	Norlist	
0_11_629	372	76	Они, толкаясь	1	Norlist	
0_11_630	419	62	Они толкаясь	1	Norlist	
0_11_631	459	77	Они, толкаясь	1	Norlist	
0_11_632_	452	58	Они, толкаясь	1	Norlist	
0_11_633	469	62	Они, толкаясь	1	Norlist	
0_11_634	479	73	Они, толкаясь	1	Norlist	
0_11_635	370	54	Они, толкаясь	1	Norlist	
0_11_636	430	65	Они, толкаясь	1	Norlist	
0_11_7	400	78	Они, толкаясь	1	Daniyar Borisovich	
0_11_8	403	39	Они, толкаясь	1	Norlist	
0_11_9	415	58	Они, толкаясь	1	Norlist	
0_12_0	318	75	Большую	1	Norlist	
0_12_1	382	65	Большую	1	Norlist	
0_12_10	289	82	Большую	1	Daniyar Borisovich	
0_12_11	239	69	Большую	1	Norlist	
0_12_12	247	116	Большую	1	Daniyar Borisovich	
0_12_13	348	84	Большую	1	Norlist	
0_12_14	291	78	Большую	1	Norlist	
0_12_15	423	83	Большую	1	Norlist	
0_12_16	338	52	Большую	1	Norlist	
0_12_18	322	87	Большую	1	Norlist	
0_12_19	293	81	Большую	1	Norlist	
0_12_2	344	86	Большую	1	Norlist	
0_12_20	383	74	Большую	1	Norlist	
0_12_22	195	92	Большую	1	Norlist	
0_12_23	259	90	Большую	1	Norlist	
0_12_24	241	82	Большую	1	Norlist	
0_12_25	243	85	Большую	1	Norlist	
0_12_26	291	68	Большую	1	Norlist	
0_12_27	303	82	Большую	1	Norlist	
0_12_28_	324	80	Большую	1	Daniyar Borisovich	
0_12_29	299	107	Большую	1	Daniyar Borisovich	
0_12_3	232	80	Большую	1	Norlist	
0_12_30	294	95	Большую	1	Norlist	
0_12_31	290	110	Большую	1	Norlist	
0_12_32	312	103	Большую	1	Daniyar Borisovich	
0_12_34	296	80	Большую	1	Norlist	
0_12_35	268	82	Большую	1	Norlist	
0_12_37	282	106	Большую	1	Daniyar Borisovich	
0_12_4	301	63	Большую	1	Norlist	
0_12_40	297	66	Большую	1	Norlist	
0_12_41	287	87	Большую	1	Norlist	
0_12_45	275	75	Большую	1	Norlist	
0_12_46	266	85	Большую	1	Norlist	
0_12_47	354	80	Большую	1	Norlist	
0_12_48	311	90	Большую	1	Norlist	
0_12_49	393	71	Большую	1	Norlist	
0_12_50	280	81	Большую	1	Norlist	
0_12_51	301	75	Большую	1	Norlist	
0_12_52	272	62	Большую	1	Norlist	
0_12_55	313	71	Большую	1	Norlist	
0_12_56	200	68	Большую	1	Norlist	
0_12_57	431	84	Большую	1	Norlist	
0_12_58	254	87	Большую	1	Norlist	
0_12_59	253	60	Большую	1	Norlist	
0_12_6	260	80	Большую	1	Norlist	
0_12_60	314	89	Большую	1	Norlist	
0_12_61	404	84	Большую	1	Norlist	
0_12_611_	403	89	Большую	1	Norlist	
0_12_612	270	75	Большую	1	Norlist	
0_12_613	297	98	Большую	1	Norlist	
0_12_614	324	81	Большую	1	Norlist	
0_12_615_	387	91	Большую	1	Norlist	
0_12_617	283	75	Большую	1	Norlist	
0_12_618	254	87	Большую	1	Norlist	
0_12_619	406	80	Большую	1	Norlist	
0_12_62	263	76	Большую	1	Norlist	
0_12_620	253	84	Большую	1	Norlist	
0_12_621	329	85	Большую	1	Norlist	
0_12_623	370	74	Большую	1	Norlist	
0_12_624	298	95	Большую	1	Norlist	
0_12_625	280	80	Большую	1	Norlist	
0_12_626	335	81	Большую	1	Norlist	
0_12_627	340	57	Большую	1	Norlist	
0_12_628	300	76	Большую	1	Norlist	
0_12_629	255	84	Большую	1	Norlist	
0_12_630	227	69	Большую	1	Norlist	
0_12_631	283	85	Большую	1	Norlist	
0_12_632_	196	66	Болую	1	Norlist	
0_12_633	555	83	Большую	1	Norlist	
0_12_634	259	71	Большую	1	Norlist	
0_12_635	257	104	Большую	1	Norlist	
0_12_636	324	78	Большую	1	Norlist	
0_12_7	273	89	Большую	1	Daniyar Borisovich	
0_12_8	271	48	Большую	1	Norlist	
0_12_9	281	59	Большую	1	Norlist	
0_13_0	638	94	Голодные волчата	1	Norlist	
0_13_1	661	83	Голодные волчата	1	Norlist	
0_13_10	554	93	Голодные волчата	1	Daniyar Borisovich	
0_13_11	551	82	Голодные волчата	1	Norlist	
0_13_12	607	103	Голодные волчата	1	Daniyar Borisovich	
0_13_13	683	96	Голодные волчата	1	Norlist	
0_13_14	602	91	Голодные волчата	1	Norlist	
0_13_15	727	80	Голодные волчата	1	Norlist	
0_13_16	619	66	Голодные волчата	1	Norlist	
0_13_18	566	110	Голодные волчата	1	Norlist	
0_13_19	572	87	Голодные волчата	1	Norlist	
0_13_2	665	85	Голодные волчата	1	Norlist	
0_13_20	717	74	Голодные волчата	1	Norlist	
0_13_22	390	70	Голодные волчата	1	Norlist	
0_13_23	562	89	Голодные волчата	1	Norlist	
0_13_24	545	116	Голодные волчата	1	Norlist	
0_13_25	609	96	Голодные волчата	1	Norlist	
0_13_26	612	80	Голодные волчата	1	Norlist	
0_13_27	585	87	Голодные волчата	1	Norlist	
0_13_28_	637	87	Голодные волчата	1	Daniyar Borisovich	
0_13_29	587	100	Голодные волчата	1	Daniyar Borisovich	
0_13_3	564	95	Голодные волчата	1	Norlist	
0_13_30	599	97	Голодные волчата	1	Norlist	
0_13_31	509	118	Голодные волчата	1	Norlist	
0_13_32	548	98	Голодные волчата	1	Daniyar Borisovich	
0_13_35	528	96	Голодные волчата	1	Norlist	
0_13_37	620	97	Голодные волчата	1	Daniyar Borisovich	
0_13_4	631	77	Голодные волчата	1	Norlist	
0_13_40	601	84	Голодные волчата	1	Norlist	
0_13_41	549	101	Голодные волчата	1	Norlist	
0_13_42	472	91	Голодные волки	1	Norlist	
0_13_45	542	102	Голодные волчата	1	Norlist	
0_13_46	551	98	Голодные волчата	1	Norlist	
0_13_47	685	91	Голодные волчата	1	Norlist	
0_13_48	672	84	Голодные волчата	1	Norlist	
0_13_49	633	78	Голодные волчата	1	Norlist	
0_13_50	646	68	Голодные волчата	1	Norlist	
0_13_51	620	101	Голодные волчата	1	Norlist	
0_13_52	484	73	Голодные волчата	1	Norlist	
0_13_55	574	102	Голодные волчата	1	Norlist	
0_13_56	459	79	Голодные волчата	1	Norlist	
0_13_57	725	86	Голодные волчата	1	Norlist	
0_13_58	549	79	Голодные волчата	1	Norlist	
0_13_59	525	66	Голодные волчата	1	Norlist	
0_13_6	619	94	Голодные волчата	1	Norlist	
0_13_60	669	106	Голодные волчата	1	Norlist	
0_13_61	720	97	Голодные волчата	1	Norlist	
0_13_611_	700	91	Голодные волчата	1	Norlist	
0_13_612	556	73	Голодные волчата	1	Norlist	
0_13_613	650	104	Голодные волчата	1	Norlist	
0_13_614	603	79	Голодные волчата	1	Norlist	
0_13_615_	698	89	Голодные волчата	1	Norlist	
0_13_617	525	62	Голодные волчата	1	Norlist	
0_13_618	472	90	Голодные волчата	1	Norlist	
0_13_620	473	74	Голодные волчата	1	Norlist	
0_13_621	557	100	Голодные волчата	1	Norlist	
0_13_623	632	91	Голодные волчата	1	Norlist	
0_13_624	548	85	Голодные волчата	1	Norlist	
0_13_625	535	99	Голодные волчата	1	Norlist	
0_13_626	631	85	Голодные волчата	1	Norlist	
0_13_627	672	86	Голодные волчата	1	Norlist	
0_13_628	598	89	Голодные волчата	1	Norlist	
0_13_629	478	84	Голодные волчата	1	Norlist	
0_13_630	624	100	Голодные волчата	1	Norlist	
0_13_631	552	76	Голодные волчата	1	Norlist	
0_13_632_	566	77	Голодные волчата	1	Norlist	
0_13_633	620	79	Голодные волчата	1	Norlist	
0_13_634	534	65	Голодные волчата	1	Norlist	
0_13_635	479	76	Голодные волчата	1	Norlist	
0_13_636	604	79	Голодные волчата	1	Norlist	
0_13_7	548	90	Голодные волчата	1	Daniyar Borisovich	
0_13_8	530	37	Голодные волчата	1	Norlist	
0_13_9	529	73	Голодные волчата	1	Norlist	
0_14_1	709	62	Как властно пахнет	1	Norlist	
0_14_10	653	68	Как властно пахнет	1	Daniyar Borisovich	
0_14_11	664	72	Как властно пахнет	1	Norlist	
0_14_12	701	82	Как властно пахнет	1	Daniyar Borisovich	
0_14_13	703	72	Как властно пахнет	1	Norlist	
0_14_14	705	58	Как властно пахнет	1	Norlist	
0_14_15	972	42	Как властно пахнет	1	Daniyar Borisovich	
0_14_16	766	48	Как властно пахнет	1	Daniyar Borisovich	
0_14_18	683	66	Как властно пахнет	1	Norlist	
0_14_19	697	61	Как властно пахнет	1	Norlist	
0_14_20	815	50	Как властно пахнет	1	Daniyar Borisovich	
0_14_22	470	57	Как властно пахнет	1	Norlist	
0_14_23	643	66	Как властно пахнет	1	Norlist	
0_14_24	652	72	Как властно пахнет	1	Norlist	
0_14_25	670	53	Как властно пахнет	1	Norlist	
0_14_26	690	52	Как властно пахнет	1	Norlist	
0_14_27	697	63	Как властно пахнет	1	Norlist	
0_14_28_	838	54	Как властно пахнет	1	Daniyar Borisovich	
0_14_29	733	87	Как властно пахнет	1	Daniyar Borisovich	
0_14_3	625	69	Как властно пахнет	1	Norlist	
0_14_30	622	75	Как властно пахнет	1	Norlist	
0_14_31	441	74	Как властно	1	Daniyar Borisovich	
0_14_32	756	64	Как властно пахнет	1	Daniyar Borisovich	
0_14_34	669	51	Как властно пахнет	1	Norlist	
0_14_35	634	61	Как властно пахнет	1	Norlist	
0_14_37	683	75	Как властно пахнет	1	Daniyar Borisovich	
0_14_39	712	75	Как властно пахнет	1	Daniyar Borisovich	
0_14_4	646	60	Как властно пахнет	1	Norlist	
0_14_40	661	70	Как властно пахнет	1	Norlist	
0_14_41	660	65	Как властно пахнет	1	Norlist	
0_14_42	674	71	Как властно пахнет	1	Norlist	
0_14_45	620	61	Как властно пахнет	1	Norlist	
0_14_46	615	59	Как властно пахнет	1	Norlist	
0_14_47	735	69	Как властно пахнет	1	Norlist	
0_14_48	773	52	Как властно пахнет	1	Daniyar Borisovich	
0_14_49	665	65	Как властно пахнет	1	Norlist	
0_14_50	709	58	Как властно пахнет	1	Norlist	
0_14_51	700	68	Как властно пахнет	1	Norlist	
0_14_52	541	34	Как властно пахнет	1	Norlist	
0_14_55	716	62	Как властно пахнет	1	Norlist	
0_14_56	560	61	Как властно пахнет	1	Norlist	
0_14_57	822	70	Как властно пахнет	1	Daniyar Borisovich	
0_14_58	601	60	Как властно пахнет	1	Norlist	
0_14_59	635	50	Как властно пахнет	1	Norlist	
0_14_6	727	63	Как властно пахнет	1	Norlist	
0_14_61	717	72	Как властно пахнет	1	Norlist	
0_14_611_	725	80	Как властно пахне	1	Norlist	
0_14_612	627	52	Как властно пахнет	1	Norlist	
0_14_613	678	68	Как властно пахнет	1	Norlist	
0_14_614	672	59	Как властно пахнет	1	Norlist	
0_14_615_	883	67	Как властно пахнет	1	Norlist	
0_14_617	646	47	Как властно пахнет	1	Norlist	
0_14_618	552	49	Как властно пахнет	1	Norlist	
0_14_620	589	71	Как властно пахнет	1	Norlist	
0_14_621	583	72	Как властно пахнет	1	Norlist	
0_14_622	694	75	Как властно пахнет	1	Norlist	
0_14_623	692	67	Как властно пахнет	1	Norlist	
0_14_624	606	70	Как властно пахнет	1	Norlist	
0_14_625	619	78	Как властно пахнет	1	Norlist	
0_14_626	728	80	Как властно пахнет	1	Norlist	
0_14_627	699	71	Как властно пахнет	1	Norlist	
0_14_628	659	71	Как властно пахнет	1	Norlist	
0_14_629	627	85	Как властно пахнет	1	Norlist	
0_14_630	690	74	Как властно пахнет	1	Norlist	
0_14_631	644	60	Как властно пахнет	1	Norlist	
0_14_632_	638	64	Как властно пахнет	1	Norlist	
0_14_633	695	71	Как властно пахнет	1	Norlist	
0_14_634	674	68	Как властно пахнет	1	Norlist	
0_14_635	591	59	Как властно пахнет	1	Norlist	
0_14_636	663	60	Как властно пахнет	1	Norlist	
0_14_7	633	70	Как властно пахнет	1	Daniyar Borisovich	
0_14_8	581	33	Как властно пахнет	1	Norlist	
0_14_9	625	50	Как властно пахнет	1	Norlist	
0_15_1	672	76	Они, прижавшись	1	Norlist	
0_15_10	524	81	Они, прижавшись	1	Daniyar Borisovich	
0_15_100	708	60	Они, прижавшись	1	Norlist	
0_15_101	655	75	Они, прижавшись	1	Norlist	
0_15_102	679	66	Они, прижавшись	1	Norlist	
0_15_11	584	64	Они, прижавшись	1	Norlist	
0_15_13	644	85	Они, прижавшись	1	Norlist	
0_15_14	568	73	Они, прижавшись	1	Norlist	
0_15_18	571	73	Они, прижавшись	1	Norlist	
0_15_19	538	82	Они, прижавшись	1	Norlist	
0_15_2	577	73	Они, прижавшись	1	Norlist	
0_15_21	619	84	Они, прижавшись	1	Daniyar Borisovich	
0_15_22	414	67	Они, прижавшись	1	Norlist	
0_15_23	474	86	Они, прижавшись	1	Norlist	
0_15_24	521	80	Они, прижавшись	1	Norlist	
0_15_25	521	67	Они, прижавшись	1	Norlist	
0_15_26	572	73	Они, прижавшись	1	Norlist	
0_15_27	567	83	Они, прижавшись	1	Norlist	
0_15_28	704	69	Они, прижавшись	1	Daniyar Borisovich	
0_15_29	548	98	Они, прижавшись	1	Daniyar Borisovich	
0_15_3	512	77	Они, прижавшись	1	Norlist	
0_15_30	542	67	Они, прижавшись	1	Norlist	
0_15_31	586	80	Они, прижавшись	1	Norlist	
0_15_32	596	93	Они, прижавшись	1	Daniyar Borisovich	
0_15_33	621	84	Они, прижавшись	1	Daniyar Borisovich	
0_15_34	509	65	Они, прижавшись	1	Norlist	
0_15_35	504	72	Они, прижавшись	1	Norlist	
0_15_36	639	73	Они, прижавшись	1	Daniyar Borisovich	
0_15_37	526	119	Они, прижавшись	1	Daniyar Borisovich	
0_15_38	541	85	Они, прижавшись	1	Daniyar Borisovich	
0_15_4	619	89	Они, прижавшись	1	Norlist	
0_15_40	562	78	Они, прижавшись	1	Norlist	
0_15_41	490	82	Они, прижавшись	1	Norlist	
0_15_42	528	75	Они, прижавшись	1	Norlist	
0_15_44	603	83	Они, прижавшись	1	Daniyar Borisovich	
0_15_45	451	73	Они, прижавшись	1	Norlist	
0_15_46	539	93	Они, прижавшись	1	Norlist	
0_15_47	675	95	Они, прижавшись	1	Norlist	
0_15_48	601	74	Они, прижавшись	1	Norlist	
0_15_49	637	67	Они, прижавшись	1	Norlist	
0_15_5	530	88	Они, прижавшись	1	Daniyar Borisovich	
0_15_50	582	63	Они, прижавшись	1	Norlist	
0_15_51	521	72	Они, прижавшись	1	Norlist	
0_15_52	505	54	Они, прижавшись	1	Norlist	
0_15_55	609	65	Они, прижавшись	1	Norlist	
