hash,label
AgACAgIAAxkDAAIB7GElO5wkzasuPQFzo6KgRMpkwchRAAI_tTEbfY8oSfSxqZEO22ifAQADAgADeAADIAQ,как молодость
AgACAgIAAxkDAAIB7WElO5xJu6XBfHUaFoSRuU5Jt9eBAAJAtTEbfY8oSS7HkcfEbVz4AQADAgADeAADIAQ,Павлодарская
AgACAgIAAxkDAAIB7mElO52j5pvuB6KzBy96_cT3lpmMAAJBtTEbfY8oSbzgQB317tcnAQADAgADbQADIAQ,Семей
AgACAgIAAxkDAAIB72ElO52J_cxhe6DCqxiY7TPdV5WRAAJCtTEbfY8oSWTSoGEBdh08AQADAgADbQADIAQ,джигит
AgACAgIAAxkDAAIB8GElO50N-dgaAWCxQuGhkoBssY45AAJDtTEbfY8oSXQlucq_DKmwAQADAgADeAADIAQ,"Опять стога,"
AgACAgIAAxkDAAIB8WElO52q3eydNKgdlyyt4C6qswcoAAJEtTEbfY8oSe5EWn8sVODuAQADAgADbQADIAQ,Актобе
AgACAgIAAxkDAAIB8mElO535U7KopdXVbzcIcxyOCFsJAAJFtTEbfY8oSbd7hlAaxSQfAQADAgADbQADIAQ,Кульсары
AgACAgIAAxkDAAIB82ElO53WKCwvuQaR95w9hphZhBBUAAJGtTEbfY8oSYfa9hckFoaNAQADAgADeAADIAQ,"моеи лежит,"
AgACAgIAAxkDAAIB9GElO521I7LWAAEc41A8VD0-pIJeFQACR7UxG32PKEkmVY7Of_YFywEAAwIAA3gAAyAE,УСТЬ-КАМЕНОГОРСК
AgACAgIAAxkDAAIB9WElO51cLhQdhe5LWaX7S-1MoV2XAAJItTEbfY8oSVh3NmWvokyjAQADAgADbQADIAQ,ночлега
AgACAgIAAxkDAAIB9mElO50n1ZJhKUG5lxxoaP6Nq5foAAJJtTEbfY8oSY7bLNhQka9TAQADAgADeAADIAQ,святых видений
AgACAgIAAxkDAAIB92ElO50FlsYoh65rugswXWBOuAo1AAJKtTEbfY8oSQF5nYBdjGpFAQADAgADbQADIAQ,Молдавия
AgACAgIAAxkDAAIB-GElO57UihG79DZxxcqel3dJ7bdnAAJLtTEbfY8oSazk7vqOkwTnAQADAgADeAADIAQ,Южная Осетия
AgACAgIAAxkDAAIB-WElO55zCfeMRAU4YWwv9mEAARcOQwACTLUxG32PKElHvoae9q3dFwEAAwIAA3gAAyAE,"всё мимо, мимо."
AgACAgIAAxkDAAIB-mElO6kPDLDlObXR75c6im9QhBpEAAJNtTEbfY8oScfHa6GxvzCZAQADAgADeAADIAQ,помнящих вопли гунна
AgACAgIAAxkDAAIB-2ElO6kWzi79qBw1-rwWHKgW8CjOAAJOtTEbfY8oSX5lEOpJG0QlAQADAgADeAADIAQ,Твое лицо в его
AgACAgIAAxkDAAIB_GElO6lWLHoPC-oNV7iNjjaY04KXAAJPtTEbfY8oSRBhhErTM1oZAQADAgADbQADIAQ,Ушарал
AgACAgIAAxkDAAIB_WElO6lR1zxL_I1O45abbGxLfmekAAJQtTEbfY8oST153GsguMveAQADAgADbQADIAQ,Шымкент
AgACAgIAAxkDAAIB_mElO6lTwIe3LsWErH5JoRk3k5GPAAJRtTEbfY8oScoY5bLkzwhrAQADAgADbQADIAQ,обгоняет.
AgACAgIAAxkDAAIB_2ElO6lfEDsTj7xFSAzv7C69miKKAAJStTEbfY8oSaI8klavvFieAQADAgADeAADIAQ,Карагандинская
AgACAgIAAxkDAAICAAFhJTuqJ_wu6nHH5IFIhlbtQngDmgACU7UxG32PKElsYw64wsi_5AEAAwIAA3gAAyAE,Завтра к милой
AgACAgIAAxkDAAICAWElO6rxNj4ivTrVBIn5GIT2n-h3AAJUtTEbfY8oSZFX8hiDPEPlAQADAgADeAADIAQ,"Завтра, Нина,"
AgACAgIAAxkDAAICAmElO6rgDgsKc6ogJfdegIZh1u4zAAJVtTEbfY8oST1e24WUkwY4AQADAgADbQADIAQ,корок.
AgACAgIAAxkDAAICA2ElO6oEhAYQtR6GrzBopHnPsHXWAAJWtTEbfY8oSU2-S2dWtFzpAQADAgADbQADIAQ,отстал
AgACAgIAAxkDAAICBGElO6rlygJoerRsMTfqB0_JahHwAAJXtTEbfY8oSY7Wv5YXsTvWAQADAgADbQADIAQ,"Ни огня,"
AgACAgIAAxkDAAICBWElO6ppWOvNkw9fx1mdGeU8rMplAAJYtTEbfY8oSZTB4q_x1obcAQADAgADeAADIAQ,Что поцелуи
AgACAgIAAxkDAAICBmElO6r_Rh2k5dLAyPeGtN9mLVk8AAJZtTEbfY8oSYDeb8jtb2PlAQADAgADbQADIAQ,Жезказган
AgACAgIAAxkDAAICB2ElO6qgNdHVuUsVH7O-4Q9KYqC_AAJatTEbfY8oSSuPvtTffQ5wAQADAgADeAADIAQ,Абхазия
AgACAgIAAxkDAAICCGElO6olEPp1SqNPemlV0ksymDowAAJbtTEbfY8oSQeIWkDZnnGGAQADAgADbQADIAQ,Не вместе
AgACAgIAAxkDAAICCWElO6qy412GQBSPFHwjoT3ycOlDAAJctTEbfY8oSb9Vvd4llzh4AQADAgADbQADIAQ,кровь.
AgACAgIAAxkDAAICCmElO6uw-0AlHYLcDclqGje3U5u-AAJdtTEbfY8oSf3iS1n9rsf-AQADAgADbQADIAQ,Украина
AgACAgIAAxkDAAICC2ElO6tTkUtSjdNb1s_r2v1Y9x5hAAJetTEbfY8oSRUKbX1OZbY1AQADAgADbQADIAQ,Зайсан
AgACAgIAAxkDAAICDGElO6vzWcme2IXLCU6oEm0nnYL8AAJftTEbfY8oSXnJt-VXJawqAQADAgADeAADIAQ,Южно-Казахстанская
AgACAgIAAxkDAAICDWElO6u0ZRw7K36Slz9zG4dNoTaSAAJgtTEbfY8oSXiLV1PqHMOoAQADAgADbQADIAQ,Каскелен
AgACAgIAAxkDAAICDmElO6tZ-qtk15aOyuEAAVq6W4-u-wACYbUxG32PKEld-HBm9GDmIQEAAwIAA20AAyAE,длинной.
AgACAgIAAxkDAAICD2ElO6uuY1MjjhEBRoYJAAHo6m2NkgACYrUxG32PKEn2BVWLcYN0RAEAAwIAA3gAAyAE,"ни чернои хаты,"
AgACAgIAAxkDAAICEGElO6tO-6DG946QqZcDPgKR4YXqAAJjtTEbfY8oSfIlRkY7wVQYAQADAgADbQADIAQ,опыт
AgACAgIAAxkDAAICEWElO6tffP46bNWPWZdXwWgELwMMAAJktTEbfY8oSbGMkvKzy5HtAQADAgADeAADIAQ,Акмолинская
AgACAgIAAxkDAAICEmElO6sWMm3e5dXk-5m9SNjIiW9FAAJltTEbfY8oScxH4UV6Ik6aAQADAgADbQADIAQ,Белоруссия
AgACAgIAAxkDAAICE2ElO6tSWaoz_HcAAeqpu7bgj8HO1QACZrUxG32PKEls1aA97DE5HgEAAwIAA20AAyAE,казахстан
AgACAgIAAxkDAAICFGElO6xbyE0wp26qlRoPFb5DcA41AAJntTEbfY8oSd2L-Ctwo6sSAQADAgADeAADIAQ,Северно-Казахстанская
AgACAgIAAxkDAAICFWElO6xC1KjYweV-p27Hp_Ijxc2LAAJotTEbfY8oSWvVg9rHMzqnAQADAgADeAADIAQ,и оскалив пасть
AgACAgIAAxkDAAICFmElO6yV_OJcuOlaUVnjLnBSwDhkAAJptTEbfY8oSe-qzKalI2bcAQADAgADbQADIAQ,Сарканд
AgACAgIAAxkDAAICF2ElO6yAEODX0XkNGdwwdFbPT_TIAAJqtTEbfY8oSYYCOqpqRybRAQADAgADeAADIAQ,и не пил только
AgACAgIAAxkDAAICGGElO7dqcEqn2D2mcVZrvQOvhJ-gAAJrtTEbfY8oSS-2q49YfTeVAQADAgADeAADIAQ,Куда?.. Зачем?..
AgACAgIAAxkDAAICGWElO7c27W6kjcujltmxUtEdlne3AAJstTEbfY8oSRTuxN_J10mVAQADAgADbQADIAQ,Саяк
AgACAgIAAxkDAAICGmElO7eGm7NmLdc5psTO3-eOo_rSAAJttTEbfY8oSTzRrSmZAnIkAQADAgADbQADIAQ,"люди,"
AgACAgIAAxkDAAICG2ElO7jbdxaR5Lik7s1DzI1JBz1nAAJutTEbfY8oSTY35mf9dS6hAQADAgADeAADIAQ,"всё мимо, мимо."
AgACAgIAAxkDAAICHGElO7j9_Mn8KXOOLqQXWnxS6vudAAJvtTEbfY8oSblDbnZMzqiQAQADAgADeAADIAQ,КЫЗЫЛОРДИНСКАЯ
AgACAgIAAxkDAAICHWElO7hX2ZladdjiQYQrhRrSvP_lAAJwtTEbfY8oSbU-vfX_xg-6AQADAgADeAADIAQ,Северно-Казахстанская
AgACAgIAAxkDAAICHmElO7gn1RqrkvSLq73iAAFf5gABfQADcbUxG32PKEk400NjGgicOQEAAwIAA3gAAyAE,"В отдельности,"
AgACAgIAAxkDAAICH2ElO7jeYeNOTsuwBKj9FCeZz53-AAJytTEbfY8oSUVU8dufBUyQAQADAgADeAADIAQ,"И жизнь поболее,"
AgACAgIAAxkDAAICIGElO7jLLxAP-DytFxWDK8Vs4pboAAJztTEbfY8oSYa7LEgu8bWjAQADAgADeAADIAQ,Дремля смолкнул
AgACAgIAAxkDAAICIWElO7glppmR6bwxSFW8gByTPnsHAAJ0tTEbfY8oSUFhpi1FEE4dAQADAgADbQADIAQ,Злые
AgACAgIAAxkDAAICImElO7kUI42Ft4bQ9NMsTIt--kebAAJ1tTEbfY8oSZ3vyXLE9xv0AQADAgADbQADIAQ,крилья
AgACAgIAAxkDAAICI2ElO7kxSwmTbPXxlhC6PQEh8buBAAJ2tTEbfY8oSWO0SiLUcO5oAQADAgADbQADIAQ,Алматы
AgACAgIAAxkDAAICJGElO7mN4C4c95UYOvT-fD6sp7f3AAJ3tTEbfY8oSRymn15bhynaAQADAgADeAADIAQ,"к маме, жадно пили"
AgACAgIAAxkDAAICJWElO7lPYRwz9lYNcEbIyFOeaotnAAJ4tTEbfY8oScpf57jHOTREAQADAgADbQADIAQ,джиги
AgACAgIAAxkDAAICJmElO7lBgY20doRN1ljLy3qb1dAkAAJ5tTEbfY8oSdTReH_abu27AQADAgADeAADIAQ,Таджикистан
AgACAgIAAxkDAAICJ2ElO7nfeJsbpDjp15ZCibdNx5cLAAJ6tTEbfY8oSWOGxXe2IW77AQADAgADbQADIAQ,Шымкент
AgACAgIAAxkDAAICKGElO7rBXe55pbrLNvB1EUmUQrwRAAJ7tTEbfY8oSXEAAXyuN7kThAEAAwIAA3gAAyAE,Украина
AgACAgIAAxkDAAICKWElO7oDPEarFfj-mn4mXwzPXfrXAAJ8tTEbfY8oSUBm6Nh-A4C9AQADAgADeAADIAQ,"обнимает,"
AgACAgIAAxkDAAICKmElO7r__p5woO05ZeLm-RR4YoUZAAJ9tTEbfY8oSWbEwfEJmMC_AQADAgADeAADIAQ,Ты отдала свою
AgACAgIAAxkDAAICK2ElO7opTm01W8oYsHO_mWlu40kzAAJ-tTEbfY8oSXSTxvzJrMCzAQADAgADeAADIAQ,С высоты ледника
AgACAgIAAxkDAAICLGElO7re4zZyJCVWnHTM9CJKMFKXAAJ_tTEbfY8oSTzSvOAT27xfAQADAgADbQADIAQ,Зайсан
AgACAgIAAxkDAAICLWElO7rPW9zc7ty__XhmDHuie3dfAAKAtTEbfY8oSfeNAZMMwztUAQADAgADeAADIAQ,"пред аналоем,"
AgACAgIAAxkDAAICLmElO7p0BKAGtyiS_R-F8uDHwedBAAKBtTEbfY8oSTYjRyrqbslgAQADAgADeAADIAQ,хладный
AgACAgIAAxkDAAICL2ElO7qjf6Wsiep4OPFaHGHCTdNvAAKCtTEbfY8oSXeSd9WENWISAQADAgADeAADIAQ,Петропавлоск
AgACAgIAAxkDAAICMGElO7oqrnN9oqamo98Pb1wSI68lAAKDtTEbfY8oSZtMOUeGyQF7AQADAgADbQADIAQ,АЛМАТЫ
AgACAgIAAxkDAAICMWElO7vbicAG7kJ9AfY4JdtZN9xxAAKEtTEbfY8oScpUqg71nhaAAQADAgADeAADIAQ,Павлодарская
AgACAgIAAxkDAAICMmElO7smq7K4ch8dmGgWbbFjBlWuAAKFtTEbfY8oSfEOYyL3aLusAQADAgADbQADIAQ,"Они, толкаясь"
AgACAgIAAxkDAAICM2ElO7vijeyEi3yXzal1sQWsDuxjAAKGtTEbfY8oSfJ0gLIYKWSKAQADAgADbQADIAQ,Алматы
AgACAgIAAxkDAAICNGElO7s_Fa-jm5cXIhh7BdzTP5sBAAKHtTEbfY8oSb8RwAyiQbKnAQADAgADeAADIAQ,УСТЬ-КАМЕНОГОРСК
AgACAgIAAxkDAAICNWElO7vU5LqJ2DV61r5p7RpfzLoqAAKItTEbfY8oST3aF77Dj5TcAQADAgADbQADIAQ,Жанатас
AgACAgIAAxkDAAICNmElO8asMFCiaG2TFR2X8N8FvBWpAAKJtTEbfY8oSbOytPKG168dAQADAgADeAADIAQ,"И там, где сердце"
AgACAgIAAxkDAAICN2ElO8aH2F-c4SQwvW-HlGc8Dhc9AAKKtTEbfY8oSXU7dwoQaJ1SAQADAgADbQADIAQ,Казахстан
AgACAgIAAxkDAAICOGElO8fe19I9bxwxSoOx0sascs85AAKMtTEbfY8oSUOWmlrrtxl4AQADAgADbQADIAQ,"удаляя,"
AgACAgIAAxkDAAICOWElO8eVfoCfBvkZCmRZr7lQt3_1AAKNtTEbfY8oSWYDqbxqv7wmAQADAgADeAADIAQ,Мангистауская
AgACAgIAAxkDAAICOmElO8e7mi9FPlMTHceX82c-6dbBAAKOtTEbfY8oSaxLZ8Tdb6U9AQADAgADeAADIAQ,бессмертными стихами?
AgACAgIAAxkDAAICO2ElO8fOrTwbVaF2-bm8t_4jKPX8AAKPtTEbfY8oSYIyG1dJry8vAQADAgADbQADIAQ,АСТАНА
AgACAgIAAxkDAAICPGElO8enRPXFjmly1HKF7FaOSL1cAAKQtTEbfY8oSQSZQ0vUg_lmAQADAgADbQADIAQ,Семей
AgACAgIAAxkDAAICPWElO8eAEcjNHAWbh2kBqKQMX5xWAAKRtTEbfY8oSZMDiiA3G74dAQADAgADeAADIAQ,Кызылординская
AgACAgIAAxkDAAICPmElO8epQDAEO95pvgejRZzYYJmuAAKStTEbfY8oSZtfVuzbnriJAQADAgADbQADIAQ,Туркестан
AgACAgIAAxkDAAICP2ElO8fvlBN4soiPiQ6x4d-KpW4_AAKTtTEbfY8oSXSP9dxzeeAAAQEAAwIAA3gAAyAE,Все ж мучится
AgACAgIAAxkDAAICQGElO8j1DE4rsxmApyOzMiEjjtQVAAKUtTEbfY8oSdgIoZxuRC8-AQADAgADbQADIAQ,Тараз
AgACAgIAAxkDAAICQWElO8jwYdvaaojOxEv7GdyHpEiMAAKVtTEbfY8oSdQ_INSQq3tgAQADAgADeAADIAQ,Для мирной жизни
AgACAgIAAxkDAAICQmElO8ijwd-5SwG6NIVdKq8iJFGEAAKWtTEbfY8oSbMlblspmukUAQADAgADbQADIAQ,не разлучит.
AgACAgIAAxkDAAICQ2ElO8hs3sPMrkvC_mzzb-hCdb18AAKXtTEbfY8oSQ2Ulx5GwkNRAQADAgADeAADIAQ,терзали жизнь мою
AgACAgIAAxkDAAICRGElO8hwmxShQJ1kesx9Ls6Nv_PBAAKYtTEbfY8oSZUBYtbtoVaVAQADAgADbQADIAQ,Уштобе
AgACAgIAAxkDAAICRWElO8jb643NGYaAJDO7s-KR99oaAAKZtTEbfY8oSS6P0nYZYT-rAQADAgADeAADIAQ,Актюбинская
AgACAgIAAxkDAAICRmElO8nfe2ZOuE0l55B8ucOsnmbpAAKatTEbfY8oSVOlbjVhabB7AQADAgADeAADIAQ,"смеются с возу,"
AgACAgIAAxkDAAICR2ElO8l2Iv6nwGyBvUWDlH9nGNnSAAKbtTEbfY8oSUnSiB__4wNzAQADAgADbQADIAQ,В долгих
AgACAgIAAxkDAAICSGElO8mljMPRCme-F08yLxXRsW1fAAKctTEbfY8oSWTGl25ZbAF4AQADAgADeAADIAQ,Осуждены идти
AgACAgIAAxkDAAICSWElO8l3nrvqo-HyhAdCVEm1dwFgAAKdtTEbfY8oSYH39kj6n-E3AQADAgADbQADIAQ,Сергеевка
AgACAgIAAxkDAAICSmElO8nqFFh8QFAYo_8jzMaW335LAAKetTEbfY8oSYAQdVNey90lAQADAgADbQADIAQ,Актобе
AgACAgIAAxkDAAICS2ElO8oy8XrcQS5nmIG-gOYy4lk7AAKftTEbfY8oSYvPAAHjmskngAEAAwIAA3gAAyAE,Меж мной и холмами
AgACAgIAAxkDAAICTGElO8ojLnIRu3FOB4CmSLprwV5AAAKgtTEbfY8oScSDCZuMwSEAAQEAAwIAA20AAyAE,мне снится
AgACAgIAAxkDAAICTWElO8ohg2fBgRu1jzqh0Ll-Nn5VAAKhtTEbfY8oSR-nyDafSvZmAQADAgADeAADIAQ,вновь синеют
AgACAgIAAxkDAAICTmElO8sZIyHsS5aQ3yY-bYQCVFcGAAKitTEbfY8oScJV0fL10R9BAQADAgADeAADIAQ,Кандыагаш
AgACAgIAAxkDAAICT2ElO8tF-rMHO0GZ3gErR91Gg6gdAAKjtTEbfY8oSYmNH7Ibz9x-AQADAgADeAADIAQ,Не вместе.
AgACAgIAAxkDAAICUGElO8u5M8qOV0kI9pFtln7sSErHAAKktTEbfY8oSaXb6dJ301tCAQADAgADeAADIAQ,не разучит.
AgACAgIAAxkDAAICUWElO8sgpGuikHDCHS36r8lFvmr9AAKltTEbfY8oSSaL7kdi6VXrAQADAgADeAADIAQ,"о подвигах, о славе"
AgACAgIAAxkDAAICUmElO8wnQ7_xUNNKOPQwJwR1SXhyAAKmtTEbfY8oSfmRlww7oaDSAQADAgADeAADIAQ,УСТЬ-КАМЕНОГОРСК
AgACAgIAAxkDAAICU2ElO8xQtablUGXt2627OWivxq_qAAKntTEbfY8oSaIi5vzOhkvBAQADAgADeAADIAQ,меч их висит
AgACAgIAAxkDAAICVGElO9ell0oNqknaYg6Sp9AEGXadAAKotTEbfY8oScLFaHJWcuR0AQADAgADbQADIAQ,Астана
AgACAgIAAxkDAAICVWElO9gAAQQREYDe3o8iPj1YIsvtEgACqbUxG32PKEkdKlDsFo7HpAEAAwIAA20AAyAE,Саяк
AgACAgIAAxkDAAICVmElO9gVSO6aGPR541tjly_SsmOcAAKqtTEbfY8oSfsU5_5nzwABQQEAAwIAA3gAAyAE,Северно-Казахстанская
AgACAgIAAxkDAAICV2ElO9gp6uEl9dVWaf-D_D3lnopTAAKrtTEbfY8oSd34ra2Z98qJAQADAgADeAADIAQ,Взывали к мщенью
AgACAgIAAxkDAAICWGElO9gXpOMqkEkqpFunQbFSUPDbAAKstTEbfY8oSc9kwcP4CzYLAQADAgADbQADIAQ,связкам
AgACAgIAAxkDAAICWWElO9h7DZ0qxBfzWZY3Fa40BESsAAKttTEbfY8oSYiMX9ENLVyFAQADAgADeAADIAQ,Откинув лапы
AgACAgIAAxkDAAICWmElO9mgFRy4B0Q-G97dpA0Dq71kAAKutTEbfY8oSVc68aM1ZTvXAQADAgADbQADIAQ,Зыряновск
AgACAgIAAxkDAAICW2ElO9mJWf4yF_IwGZuJiG3pLxCvAAKvtTEbfY8oSXNJRcGHRtGjAQADAgADeAADIAQ,Атырау
AgACAgIAAxkDAAICXGElO9kmw05m-kqpQ_Q1YPeqomyvAAKwtTEbfY8oSQxxKPhfVB0qAQADAgADbQADIAQ,У камина
AgACAgIAAxkDAAICXWElO9miYdO-1G_kAoxgkuUAAcQ-fAACsbUxG32PKEmJ7lTSz9HcdwEAAwIAA3gAAyAE,Под скальпелем
AgACAgIAAxkDAAICXmElO9pCcR5B4MVCC0y9b5DD3qU2AAKytTEbfY8oSRrzvIgNMEw3AQADAgADeAADIAQ,Где тишина
AgACAgIAAxkDAAICX2ElO9q1ykg3NIUQi8yP9nKZJE1UAAKztTEbfY8oSYEs5ZJtDnc7AQADAgADeAADIAQ,Белоруссия
AgACAgIAAxkDAAICYGElO9uUUe25I3GtpmumZEPyA2rVAAK0tTEbfY8oSXDNZJpcXryxAQADAgADbQADIAQ,Атырау
AgACAgIAAxkDAAICYWElO9uK7Nq99x0eLCHFSaZgX1rvAAK1tTEbfY8oSZYJEU8Hn5D_AQADAgADeAADIAQ,Ты стала вновь
AgACAgIAAxkDAAICYmElO9vnCWDWpdFdvcg71mybA8JCAAK2tTEbfY8oSUmuQCkSzWcNAQADAgADbQADIAQ,Актобе
AgACAgIAAxkDAAICY2ElO9tkB0Rqq9pNt0JJMc96BHmZAAK3tTEbfY8oSSAQF1pwMXrvAQADAgADeAADIAQ,"зарослях полыни,"
AgACAgIAAxkDAAICZGElO9w--nSAPLS-LwNW1jxToJLZAAK4tTEbfY8oSVQeM-HYK3arAQADAgADeAADIAQ,"Как мальчик,"
AgACAgIAAxkDAAICZWElO9zKM7lSG0ZbPzlTMaLCSDbfAAK5tTEbfY8oSTuLKdaOkbxKAQADAgADbQADIAQ,Кызылорда
AgACAgIAAxkDAAICZmElO90GtnlpDgoqW8AGk8rP_X4dAAK6tTEbfY8oScjcTx0-wW5OAQADAgADbQADIAQ,Актобе
AgACAgIAAxkDAAICZ2ElO92N1xcXRxxZMNCQtxpRH45gAAK7tTEbfY8oSUGdPx-M5XB4AQADAgADeAADIAQ,"водка на анисе,"
AgACAgIAAxkDAAICaGElO90wEAXqTQ2b1-pHy-CGiBgnAAK8tTEbfY8oSXBwKv_CaDG1AQADAgADbQADIAQ,день
AgACAgIAAxkDAAICaWElO9538cP-T7EpP9pWla6n4cQ5AAK9tTEbfY8oSSbtQpP_0wPtAQADAgADbQADIAQ,"и ловок,"
AgACAgIAAxkDAAICamElO94utiWagKqtnqlbeac_MV4DAAK-tTEbfY8oSX4GHxhgjan4AQADAgADeAADIAQ,Страна моя
AgACAgIAAxkDAAICa2ElO95_CMuo2UiWr75P4O4jT_PqAAK_tTEbfY8oSXrUmxnmVfrHAQADAgADeAADIAQ,"как облака,"
AgACAgIAAxkDAAICbGElO9501DTwQqQ-oGLW9uDLTlUcAALAtTEbfY8oSZuyfSKCofHlAQADAgADeAADIAQ,Голодные волчата
AgACAgIAAxkDAAICbWElO94TBC6UvOGJ9A9uucwfQvv2AALBtTEbfY8oSV0Tws96G_wfAQADAgADeAADIAQ,надевал на себя что
AgACAgIAAxkDAAICbmElO976nxR3Er8DNJ8jqYGAbym7AALCtTEbfY8oSdKBdrWLdtHEAQADAgADeAADIAQ,но ты не снизошла
AgACAgIAAxkDAAICb2ElO94pvCIBPN3SJMwXUfOSdDFAAALDtTEbfY8oSeluByDlCR07AQADAgADeAADIAQ,нам насладиться
AgACAgIAAxkDAAICcGElO9_4u884e-YFWhxzTP5aSfA8AALEtTEbfY8oSdnNgJ7pyZH-AQADAgADbQADIAQ,джигит
AgACAgIAAxkDAAICcWElO9_KKTMAAY1cI5WFriqzuEJcKAACxbUxG32PKEkuySGuM6r8TQEAAwIAA3gAAyAE,Завтра к милой
AgACAgIAAxkDAAICcmElO-oVP3nLjh87zNzGP5pZ_PL-AALGtTEbfY8oSRo_ZFudUqFrAQADAgADeAADIAQ,Мангистауская
AgACAgIAAxkDAAICc2ElO-r6mpmdHCxr6scGZtTDfpv9AALHtTEbfY8oSTpE7BZea_S4AQADAgADeAADIAQ,Кем? Кем? Волом?
AgACAgIAAxkDAAICdGElO-oi3XsYRfgWWzXTym-E11bVAALItTEbfY8oSXp-eE0BJcxKAQADAgADeAADIAQ,хлеб
AgACAgIAAxkDAAICdWElO-oIlef4aR-tJ2I9X6UY-5jdAALJtTEbfY8oSepn3weMebuXAQADAgADeAADIAQ,Над холодеющими
AgACAgIAAxkDAAICdmElO-qQNUhoqII5Zhgj5v-vkMLQAALKtTEbfY8oSd0WUS5Ltn40AQADAgADeAADIAQ,Его живит
AgACAgIAAxkDAAICd2ElO-tBVdC8uNkUPOgGn_TepmpnAALLtTEbfY8oSX9p86TWMjG2AQADAgADbQADIAQ,РК
AgACAgIAAxkDAAICeGElO-vPYR1LbLCXzvbULusbHw51AALMtTEbfY8oSU8J_AABjJ0hgAEAAwIAA3gAAyAE,"Кричит наш дух,"
AgACAgIAAxkDAAICeWElO-v_XAyrov_X7NfVxwXLQM2yAALNtTEbfY8oSWTjkfdcy5glAQADAgADeAADIAQ,Их забвенный
AgACAgIAAxkDAAICemElO-s6Vx8YhdbPeME_gO46wn07AALOtTEbfY8oSWPt19cAAYxn8AEAAwIAA3gAAyAE,испепеленные года
AgACAgIAAxkDAAICe2ElO-uuviaJKlJcenyJLV-UTyfMAALPtTEbfY8oSVdG5jEy5TqaAQADAgADeAADIAQ,"не испугает,"
AgACAgIAAxkDAAICfGElO-sKLdXzjVRrTqLb5Fx81PEdAALQtTEbfY8oSSKzenx_VlbTAQADAgADeAADIAQ,не лицемерить
AgACAgIAAxkDAAICfWElO-zM4-0RKTgt-FU1MeE3-pq2AALRtTEbfY8oScjc5rKBabQMAQADAgADbQADIAQ,АКТАС
AgACAgIAAxkDAAICfmElO-zFD_l2dRMOyuXteXy_ykqFAALStTEbfY8oSTD34XPu5UXuAQADAgADbQADIAQ,Астана
AgACAgIAAxkDAAICf2ElO-xnJpzTBOE-dy1ndGhgoUpCAALTtTEbfY8oSb2aOiDSmmGmAQADAgADeAADIAQ,В накошенные
